protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
23,78,3,7,-72,-4,24,134,193
-4,-16,-41,-41,-58,-47,0,29,-178
15,25,-44,-1,-91,-124,-25,38,-207
0,19,-15,-8,-52,-45,-12,33,-80
-15,4,-30,-27,-41,-58,-38,23,-182
21,-16,-22,-52,-75,-50,2,47,-145
7,17,-68,-17,-102,-43,-5,89,-122
9,-1,-16,-31,-78,-57,-5,54,-125
19,29,-10,12,-66,-14,1,55,26
0,-6,-15,-27,-48,-44,-31,15,-156
20,5,-13,-9,-14,-40,-7,0,-58
-5,21,-27,-19,-46,-25,-9,37,-73
2,2,-23,-19,-23,-57,-39,31,-126
19,0,-17,-36,-60,-41,-12,65,-82
4,-2,-19,-15,-44,-39,-2,33,-84
23,-4,-28,-45,-75,-84,-13,55,-171
9,-15,-16,-29,-58,-78,-6,32,-161
19,5,-2,-11,-28,-48,-31,51,-45
-14,37,-64,-30,-73,-71,2,27,-186
6,7,-11,-28,-24,-34,-10,36,-58
13,-12,-69,-57,-129,-56,-3,65,-248
2,-6,-52,-69,-97,-102,-14,73,-265
12,-1,-29,-26,-81,-96,-21,25,-217
22,19,-48,-42,-78,-39,-1,81,-86
26,4,-27,-4,-51,-49,9,21,-71
17,10,-42,-58,-105,-106,-1,84,-201
35,-6,-22,-3,-35,-64,-9,36,-68
14,39,-19,-41,-62,-86,-27,60,-122
13,-9,-60,-21,-92,-82,-9,42,-218
4,1,-34,5,-57,-84,-3,57,-111
17,16,-32,-9,-57,-37,-11,42,-71
5,22,-45,-43,-27,-83,-23,55,-139
0,5,-78,-65,-66,-61,-25,43,-247
12,-18,-40,-21,-61,-50,15,20,-143
10,-2,-23,-1,-36,-35,-9,22,-74
7,12,-24,2,-70,-26,7,66,-26
14,44,-38,-30,-81,-74,-9,85,-89
30,11,-41,-23,-85,-77,-7,39,-153
27,10,-26,-15,-48,-78,-12,54,-88
4,-7,-17,-12,-57,-79,-31,38,-161
-1,21,-11,-8,-41,-5,-12,51,-6
43,0,-58,-40,-158,-141,9,54,-291
19,-3,-20,-19,-31,-40,1,22,-71
