protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
35,72,22,-41,-76,-13,-41,34,-8
-27,-32,-19,-57,-70,-20,-40,-8,-273
1,7,-70,-77,-106,-122,-92,-107,-566
-19,3,-15,-46,-48,-38,-39,-21,-223
-32,-4,-34,-64,-58,-39,-43,-15,-289
-26,-19,2,-56,-114,-53,-47,6,-307
-19,16,-53,-57,-66,-19,-40,1,-237
-8,1,-4,-64,-71,-61,-42,10,-239
-5,26,-12,-18,-35,-10,-44,37,-61
-1,-4,-23,-22,-59,-10,-31,-4,-154
-8,-13,-14,-19,-31,-22,-20,-38,-165
-19,7,-8,-40,-44,-23,-31,5,-153
-30,-5,-47,-76,-29,-37,-33,-14,-271
1,2,-16,-42,-49,-22,-36,33,-129
-14,-2,-19,-22,-57,-22,-56,-9,-201
-37,-32,-44,-79,-73,-58,-50,-8,-381
-1,-14,-8,-42,-91,-62,-58,-44,-320
13,-6,-27,-6,-31,-21,-22,1,-99
-27,33,-60,-103,-69,-40,-51,-49,-366
-17,1,-15,-48,-27,-14,-28,0,-148
-50,-29,-24,-92,-112,-47,-69,6,-417
-17,-39,-34,-102,-147,-89,-84,-38,-550
-16,-2,-20,-60,-92,-61,-61,-22,-334
-15,24,-36,-68,-58,-31,-36,24,-196
27,0,-2,-18,-73,-72,-33,-46,-217
-54,-32,-49,-117,-121,-76,-81,-5,-535
13,-12,-21,-8,-47,-34,-35,-23,-167
-18,11,-31,-101,-84,-77,-75,-20,-395
-20,-19,-26,-58,-113,-32,-55,-27,-350
-12,8,-49,-80,-51,-22,-37,-35,-278
11,24,-18,-36,-56,-51,-46,-14,-186
-26,3,-51,-108,-44,-20,-42,-10,-298
-56,-22,-56,-101,-98,-1,-54,-3,-391
-12,-34,-11,-39,-76,-41,-31,-14,-258
-11,-11,-14,-19,-39,-10,-27,-15,-146
10,-7,-7,-31,-71,-44,-29,-8,-187
-30,23,-56,-107,-72,-59,-54,-1,-356
3,-8,-30,-53,-95,-69,-60,-39,-351
3,10,-38,-47,-39,-37,-25,13,-160
-14,-4,-42,-60,-67,-63,-56,-17,-323
-12,12,-15,-28,-30,17,-24,21,-59
-6,-18,-38,-67,-163,-116,-112,-36,-556
-8,-11,-9,-34,-37,-18,-24,6,-135
-6,-9,-27,-68,-74,-48,-65,-14,-311
-18,-1,-49,-65,-80,-49,-60,-37,-359
2,6,-3,-73,-60,-66,-53,-26,-273
8,-28,-14,-75,-108,-54,-61,-38,-370
-44,-11,-68,-103,-79,-47,-66,3,-415
4,-11,0,-15,-59,-41,-24,-11,-157
-5,21,-44,-65,-94,-66,-56,-53,-362
-19,-8,-11,-64,-51,-37,-29,-17,-236
4,-27,-47,-79,-130,-93,-70,-43,-485
11,-6,-29,-48,-68,-59,-55,-45,-299
35,-29,-14,-38,-173,-95,-74,-54,-442
-25,29,-45,-97,-93,-27,-60,-6,-324
9,-17,-30,-30,-91,-49,-36,-11,-255
-1,27,-9,-56,-147,-9,-51,13,-233
-6,9,-21,-32,-31,16,-4,25,-44
-1,-33,-21,-91,-154,-80,-64,-11,-455
-39,-6,-26,-78,-121,-39,-68,1,-376
-8,-5,-10,-47,-70,-42,-47,-30,-259
-15,7,-28,-50,-103,-44,-56,2,-287
-19,13,-42,-80,-121,-33,-82,-20,-384
-19,-15,-18,-30,-35,11,-15,14,-107
24,-4,-11,-24,-133,-48,-89,19,-266
22,4,-43,-59,-196,-133,-116,-53,-574
